"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2004-053","2004-053-01","2004-053-01-01","2004-053-01-01-01",5/31/2005,1,"544 U.S. 734","125 S. Ct. 2108","161 L. Ed. 2d 1042","2005 U.S. LEXIS 4347",2004,1607,"Rehnquist","03-1488","ULYSSES TORY, et al. v. JOHNNIE L. COCHRAN, JR.",3/22/2005,,214,,111,,1,,,0,302,6,301,6,0,12,2,1,1,5,0,1,0,0,30030,3,2,0,2,,2,200,,110,102,1,7,2
"2004-054","2004-054-01","2004-054-01-01","2004-054-01-01-01",6/6/2005,1,"545 U.S. 1","125 S. Ct. 2195","162 L. Ed. 2d 1","2005 U.S. LEXIS 4656",2004,1607,"Rehnquist","03-1454","ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. ANGEL MCCLARY RAICH et al.",11/29/2004,,1,,208,,1,,,0,50,,29,,1,10,3,2,1,5,0,1,0,0,100050,10,2,0,1,,6,600,"21 U.S.C. § 801",103,103,1,6,3
"2004-055","2004-055-01","2004-055-01-01","2004-055-01-01-01",6/6/2005,1,"545 U.S. 75","125 S. Ct. 2137","162 L. Ed. 2d 57","2005 U.S. LEXIS 4654",2004,1607,"Rehnquist","128 ORIG","STATE OF ALASKA v. UNITED STATES OF AMERICA",1/10/2005,,28,2,27,,9,,,0,,,,,0,1,,,1,,0,0,0,0,100040,10,2,0,4,7,3,368,"NA",106,103,1,6,3
"2004-056","2004-056-01","2004-056-01-01","2004-056-01-01-01",6/6/2005,1,"545 U.S. 119","125 S. Ct. 2169","162 L. Ed. 2d 97","2005 U.S. LEXIS 4655",2004,1607,"Rehnquist","03-1388","DOUGLAS SPECTOR, et al. v. NORWEGIAN CRUISE LINE LTD.",2/28/2005,,140,,116,,1,,,0,121,,25,,0,2,6,1,1,4,0,1,0,0,20210,2,2,0,4,7,3,300,,106,103,1,6,3
"2004-057","2004-057-01","2004-057-01-01","2004-057-01-01-01",6/13/2005,1,"545 U.S. 162","125 S. Ct. 2410","162 L. Ed. 2d 129","2005 U.S. LEXIS 4842",2004,1607,"Rehnquist","04-6964","JAY SHAWN JOHNSON v. CALIFORNIA",4/18/2005,,100,,28,6,1,,,0,302,6,300,6,1,12,4,1,1,4,0,1,0,0,20040,2,2,0,7,,2,231,,103,102,1,8,1
"2004-058","2004-058-01","2004-058-01-01","2004-058-01-01-01",6/13/2005,1,"545 U.S. 175","125 S. Ct. 2398","162 L. Ed. 2d 143","2005 U.S. LEXIS 4841",2004,1607,"Rehnquist","04-637","MARGARET BRADSHAW, WARDEN v. JOHN DAVID STUMPF",4/19/2005,,28,41,126,,1,,,0,104,,26,,1,11,3,2,1,7,0,1,0,0,10030,1,1,0,2,,2,230,,104,102,1,9,0
"2004-059","2004-059-01","2004-059-01-01","2004-059-01-01-01",6/13/2005,1,"545 U.S. 193","125 S. Ct. 2372","162 L. Ed. 2d 160","2005 U.S. LEXIS 4840",2004,1607,"Rehnquist","03-1237","MERCK KGAA v. INTEGRA LIFESCIENCES I, LTD., et al.",4/20/2005,,143,,172,,1,,,0,51,,8,,1,11,6,2,1,5,0,1,0,0,80180,8,2,0,4,,6,600,"35 U.S.C. § 271",105,102,1,9,0
"2004-060","2004-060-01","2004-060-01-01","2004-060-01-01-01",6/13/2005,1,"545 U.S. 209","125 S. Ct. 2384","162 L. Ed. 2d 174","2005 U.S. LEXIS 4839",2004,1607,"Rehnquist","04-495","REGINALD A. WILKINSON, DIRECTOR, OHIO DEPARTMENT OF REHABILITATION AND CORRECTION, et al. v. CHARLES E. AUSTIN et al.",3/30/2005,,7,41,215,,1,117,41,0,103,,26,,0,11,2,2,1,7,0,1,0,0,40040,4,1,0,2,,2,230,,106,102,1,9,0
"2004-061","2004-061-01","2004-061-01-01","2004-061-01-01-01",6/13/2005,1,"545 U.S. 231","125 S. Ct. 2317","162 L. Ed. 2d 196","2005 U.S. LEXIS 4658",2004,1607,"Rehnquist","03-9659","THOMAS JOE MILLER-EL v. DOUG DRETKE, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",12/6/2004,,126,,28,51,1,,,0,120,,25,,0,12,9,1,1,4,0,1,0,0,10020,1,2,0,7,3,3,341,,107,103,1,6,3
"2004-062","2004-062-01","2004-062-01-01","2004-062-01-01-01",6/13/2005,1,"545 U.S. 308","125 S. Ct. 2363","162 L. Ed. 2d 257","2005 U.S. LEXIS 4659",2004,1607,"Rehnquist","04-603","GRABLE & SONS METAL PRODUCTS, INC. v. DARUE ENGINEERING & MANUFACTURING",4/18/2005,,195,,195,,1,,,0,82,,26,,0,2,2,2,1,2,0,0,0,0,90400,9,2,0,4,3,3,345,,107,102,1,9,0
